smiles,pka_value,filtered,filter_version
C#CCN(c1ccc(N(CC#C)S(=O)(=O)c2ccc(NC(C)=O)cc2)c2ccccc12)S(=O)(=O)c1ccc(NC(C)=O)cc1,10.73,True,1.0
C#CCN1CCN(C(=O)OCC)CC1,5.44,True,1.0
C#CCNCC#C,6.1,True,1.0
C#CCNN,5.46,True,1.0
C#CCNc1ccccc1,3.06,True,1.0
C#CCNc1nc(C)cc(C)n1,4.37,True,1.0
C#CCNc1ncccn1,2.85,True,1.0
C#CCO,13.55,True,1.0
C#CCOC(=O)Nc1cc(Cl)ccc1O,13.55,True,1.0
C#CCOc1ccc(C(=O)c2ccc(OCCOc3cccc(C#Cc4csc(C)n4)c3)cc2)cc1,6.1,True,1.0
C#CCOc1ccc2cc(C(=O)NCCn3ccc(=O)c(O)c3C)c(=O)oc2c1,3.32,True,1.0
C#CCOc1ccc2cc(Cn3cc(O)c(=O)cc3C)c(=O)oc2c1,3.07,True,1.0
C#CCOc1ccc2cc(Cn3ccc(=O)c(O)c3C)c(=O)oc2c1,3.11,True,1.0
C#CCOc1ccc2cc(Cn3ccc(=O)c(O)c3CC)c(=O)oc2c1,2.95,True,1.0
C#CCOc1noc2c1CNCC2.Cl,7.6,True,1.0
C#CCc1c(C)nc(=N)n(C)c1C,11.5,True,1.0
C#CCc1c(C)nc(N)nc1C,4.49,True,1.0
C#CCc1c(C)nc(NC)nc1C,4.87,True,1.0
C#CCc1c(C)nc(O)nc1C,3.51,True,1.0
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.2,True,1.0
C#CCn1c(C)cc(C)nc1=N,10.36,True,1.0
C#CCn1cccnc1=N,9.99,True,1.0
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,15.0,True,1.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,13.9,True,1.0
C(#CCN1CCCC1)COc1cc(-c2ccccc2)on1.O=C(O)/C=C/C(=O)O,4.94,True,1.0
C(#CCN1CCCCC1)COC1=NOCC1.O=C(O)C(=O)O,5.91,True,1.0
C(#CCOc1ccon1)CO/N=C1\CN2CCC1CC2.O=C(O)/C=C/C(=O)O,5.85,True,1.0
C(#Cc1ccncc1)c1ccccc1,4.62,True,1.0
C(#Cc1nc2ccccc2[nH]1)c1ccccc1,8.8,True,1.0
C(=C/c1ccccn1)\c1ccccn1,4.8,True,1.0
C(=C/c1ccccn1)\c1cccnc1,5.0,True,1.0
C(=C/c1ccccn1)\c1ccncc1,5.5,True,1.0
C(=C/c1cccnc1)\c1ccccc1,4.75,True,1.0
C(=C/c1cccnc1)\c1cccnc1,5.0,True,1.0
C(=C/c1cccnc1)\c1ccncc1,5.6,True,1.0
C(=C/c1ccncc1)\c1ccccc1,5.92,True,1.0
C(=C/c1ccncc1)\c1ccncc1,5.6,True,1.0
C(=C\C)/C1=CC=C(C=C1)O,9.82,True,1.0
C(=Cc1[nH+]ccc2ccsc12)c1ccccc1.[Cl-],2.8,True,1.0
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,6.8,True,1.0
C(=NNc1ccccn1)c1ccccn1,5.93,True,1.0
